"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","69.9153976","70.8105388","71.70568","72.2839554","72.8622308","73.4405062","74.0187816","74.597057","75.5041962","76.4113354","77.3184746","78.2256138","79.132753","79.7013808","80.2700086","80.8386364","81.4072642","81.975892","82.2639768","82.5520616","82.8401464","83.1282312","83.416316","83.5971108","83.7779056","83.9587004","84.1394952","84.32029","84.379384","84.438478","84.497572","84.556666","84.61576","84.6742388","84.7327176","84.7911964","84.8496752","84.908154","84.9633444","85.0185348","85.0737252","85.1289156","85.184106","85.3831966","85.5822872","85.7813778","85.9804684","86.179559","86.3573188","86.5350786","86.7128384","86.8905982","87.068358","87.2402536","87.4121492","87.5840448","87.7559404","87.927836","88.0852474","88.2426588","88.4000702","",
"Africa Eastern and Southern","AFE","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","37.3381985599633","37.9573292092818","38.5696773288251","39.0789719237383","39.5913469518593","40.1097988093047","40.6362322962082","41.1671900642478","41.6992953185364","42.2303536172831","42.7580862137932","43.289885645614","43.8170694639981","44.2727510875226","44.7262332632618","45.17894476042","45.6315180959329","46.0839749375929","46.4113304424667","46.7431097557314","47.0778864329794","47.4319409942832","47.7824493582893","48.1390539220394","48.4916948422523","48.8404126129354","49.1902263556851","49.5353949486577","49.3201197118273","49.0988310767701","48.8803889571961","48.7024861573975","48.5472835217198","48.1694425805264","47.7628454016725","47.3281927079658","46.8818783453184","46.4237766034697","46.3593748798196","46.2967634800931","46.2387917234631","46.1924571261986","46.1565439814145","47.3528577977399","48.5544185893142","49.7610911301709","50.9732318948624","52.1923073823622","53.9790181213421","55.7584900332344","57.5313032311921","59.2996116317158","61.0627767088921","62.1339622171934","63.2024518953802","64.2682803577366","65.3337382653339","66.397269055644","66.926311383375","67.4540867784374","67.9803949572133","",
"Afghanistan","AFG","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","21.4780472","22.1057936","22.73354","23.331085","23.92863","24.526175","25.12372","25.721265","26.3893846","27.0575042","27.7256238","28.3937434","29.061863","29.8381722","30.6144814","31.3907906","32.1670998","32.943409","33.8757898","34.8081706","35.7405514","36.6729322","37.605313","38.6634362","39.7215594","40.7796826","41.8378058","42.895929","43.8678956","44.8398622","45.8118288","46.7837954","47.755762","48.599696","49.44363","50.287564","51.131498","51.975432","52.6949104","53.4143888","54.1338672","54.8533456","55.572824","56.429403","57.285982","58.142561","58.99914","59.855719","60.7424844","61.6292498","62.5160152","63.4027806","64.289546","64.946512","65.603478","66.260444","66.91741","67.574376","68.161778","68.74918","69.336582","",
"Africa Western and Central","AFW","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","29.6402274688633","30.2097780326623","30.7816475357003","31.3080239149323","31.8317026969672","32.3517059786455","32.8721729909106","33.3895418626954","34.0527049633871","34.7159431068734","35.3801728300444","36.0521511103505","36.7240455479452","37.4619561407405","38.1991372761076","38.9353960190722","39.6729516055944","40.4085358954778","41.0768770258957","41.7450851214119","42.4144829484725","43.0950569183544","43.7768271870904","44.1144959109087","44.4520701598907","44.7880973149518","45.1240095299576","45.4572019975198","45.5537502132834","45.6501188070579","45.7476819137486","45.8510733634706","45.9562930993375","45.7010053152592","45.4415519506252","45.1782172750237","44.9158976276529","44.6510391947494","44.6706913024403","44.687368643178","44.7022207210858","44.7202182600958","44.7385714056133","45.5391853679262","46.3399302987565","47.1412263350638","47.9483339372776","48.7551460265603","49.5155056433648","50.2751595189629","51.0339508357859","51.7923002232028","52.5502960915905","53.2791472325174","54.0052117631091","54.7285431589703","55.4526722783455","56.1745327844926","56.6984092683814","57.221586260304","57.7445763663458","",
"Angola","AGO","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","30.30936","30.660013","31.010666","31.4477962","31.8849264","32.3220566","32.7591868","33.196317","33.6620282","34.1277394","34.5934506","35.0591618","35.524873","35.9742048","36.4235366","36.8728684","37.3222002","37.771532","38.110529","38.449526","38.788523","39.12752","39.466517","39.6502826","39.8340482","40.0178138","40.2015794","40.385345","40.4101276","40.4349102","40.4596928","40.4844754","40.509258","40.6790884","40.8489188","41.0187492","41.1885796","41.35841","42.0462474","42.7340848","43.4219222","44.1097596","44.797597","46.1644822","47.5313674","48.8982526","50.2651378","51.632023","53.2021724","54.7723218","56.3424712","57.9126206","59.48277","60.3193652","61.1559604","61.9925556","62.8291508","63.665746","64.186799","64.707852","65.228905","",
"Albania","ALB","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","68.0644458","69.8695254","71.674605","71.9995106","72.3244162","72.6493218","72.9742274","73.299133","73.9002482","74.5013634","75.1024786","75.7035938","76.304709","76.8612656","77.4178222","77.9743788","78.5309354","79.087492","79.6918406","80.2961892","80.9005378","81.5048864","82.109235","82.763607","83.417979","84.072351","84.726723","85.381095","85.335072","85.289049","85.243026","85.197003","85.15098","85.4004566","85.6499332","85.8994098","86.1488864","86.398363","86.806862","87.215361","87.62386","88.032359","88.440858","88.605522","88.770186","88.93485","89.099514","89.264178","89.609936","89.955694","90.301452","90.64721","90.992968","91.0234534","91.0539388","91.0844242","91.1149096","91.145395","91.2225726","91.2997502","91.3769278","",
"Andorra","AND","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","44.5164354324551","45.2529546182578","45.9982188969427","46.8163847279608","47.6331748582707","48.4469397528934","49.2616120769471","50.0723253996725","50.8310286504702","51.5927119275384","52.3578410730088","53.1321741722822","53.9090028391199","54.8305323240606","55.7360058915299","56.6218551273785","57.4786154082487","58.3154084342719","59.3553910650453","60.4045464965733","61.470646332041","62.5698812625952","63.6877091096679","64.5976044034197","65.5058474078558","66.4065288803939","67.2995303171622","68.1854866382836","68.7864223476545","69.384590683322","70.0148415832114","70.6255066199712","71.1318813425731","71.6981764924","72.2601305995295","72.8904847753596","73.4525829974826","74.0073311059868","74.3957538909307","74.7781780334749","75.1555680880448","75.5293457475936","75.8997163757126","76.3454952886314","76.7908242693112","77.2373783888814","77.701424465045","78.1646659138986","78.4762652063846","78.7801595168177","79.0752191414242","79.3621085088996","79.6430749028782","79.8990596528083","80.1462994991602","80.3864824315801","80.6213894803883","80.8515537181411","81.0634932546829","81.2767782915141","81.4940315854156","",
"Argentina","ARG","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","71.8853156","72.4272218","72.969128","73.2342536","73.4993792","73.7645048","74.0296304","74.294756","74.6994426","75.1041292","75.5088158","75.9135024","76.318189","76.7196626","77.1211362","77.5226098","77.9240834","78.325557","78.7422966","79.1590362","79.5757758","79.9925154","80.409255","80.6213588","80.8334626","81.0455664","81.2576702","81.469774","81.6295872","81.7894004","81.9492136","82.1090268","82.26884","82.483726","82.698612","82.913498","83.128384","83.34327","83.5419286","83.7405872","83.9392458","84.1379044","84.336563","84.520485","84.704407","84.888329","85.072251","85.256173","85.4267028","85.5972326","85.7677624","85.9382922","86.108822","86.2671692","86.4255164","86.5838636","86.7422108","86.900558","87.0438168","87.1870756","87.3303344","",
"Armenia","ARM","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","73.3827262","74.0824806","74.782235","75.3744994","75.9667638","76.5590282","77.1512926","77.743557","78.1348604","78.5261638","78.9174672","79.3087706","79.700074","79.6659536","79.6318332","79.5977128","79.5635924","79.529472","79.589854","79.650236","79.710618","79.771","79.831382","78.848331","77.86528","76.882229","75.899178","74.916127","75.2798112","75.6434954","76.0071796","76.3708638","76.734548","77.2885136","77.8424792","78.3964448","78.9504104","79.504376","80.2451324","80.9858888","81.7266452","82.4674016","83.208158","83.3246414","83.4411248","83.5576082","83.6740916","83.790575","84.1840484","84.5775218","84.9709952","85.3644686","85.757942","86.2334166","86.7088912","87.1843658","87.6598404","88.135315","88.2750314","88.4147478","88.5544642","",
"American Samoa","ASM","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","63.3115062","64.2429066","65.174307","65.9071062","66.6399054","67.3727046","68.1055038","68.838303","69.2750714","69.7118398","70.1486082","70.5853766","71.022145","71.552361","72.082577","72.612793","73.143009","73.673225","74.3499182","75.0266114","75.7033046","76.3799978","77.056691","77.6538874","78.2510838","78.8482802","79.4454766","80.042673","80.3404462","80.6382194","80.9359926","81.2337658","81.531539","81.8257818","82.1200246","82.4142674","82.7085102","83.002753","83.3456344","83.6885158","84.0313972","84.3742786","84.71716","84.9797006","85.2422412","85.5047818","85.7673224","86.029863","86.0901376","86.1504122","86.2106868","86.2709614","86.331236","86.3464152","86.3615944","86.3767736","86.3919528","86.407132","86.5828732","86.7586144","86.9343556","",
"Australia","AUS","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","80.4014436","80.5443408","80.687238","80.67864","80.670042","80.661444","80.652846","80.644248","80.9260326","81.2078172","81.4896018","81.7713864","82.053171","82.5451122","83.0370534","83.5289946","84.0209358","84.512877","84.9087576","85.3046382","85.7005188","86.0963994","86.49228","86.7657914","87.0393028","87.3128142","87.5863256","87.859837","88.167146","88.474455","88.781764","89.089073","89.396382","89.5987924","89.8012028","90.0036132","90.2060236","90.408434","90.6336584","90.8588828","91.0841072","91.3093316","91.534556","91.6890052","91.8434544","91.9979036","92.1523528","92.306802","92.4045604","92.5023188","92.6000772","92.6978356","92.795594","92.928301","93.061008","93.193715","93.326422","93.459129","93.5613138","93.6634986","93.7656834","",
"Austria","AUT","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","79.0217154","79.5174142","80.013113","80.2069258","80.4007386","80.5945514","80.7883642","80.982177","81.2403296","81.4984822","81.7566348","82.0147874","82.27294","82.6228924","82.9728448","83.3227972","83.6727496","84.022702","84.285015","84.547328","84.809641","85.071954","85.334267","85.745908","86.157549","86.56919","86.980831","87.392472","87.6061846","87.8198972","88.0336098","88.2473224","88.461035","88.7219274","88.9828198","89.2437122","89.5046046","89.765497","89.9608984","90.1562998","90.3517012","90.5471026","90.742504","90.9222246","91.1019452","91.2816658","91.4613864","91.641107","91.7274724","91.8138378","91.9002032","91.9865686","92.072934","92.1627908","92.2526476","92.3425044","92.4323612","92.522218","92.6650272","92.8078364","92.9506456","",
"Azerbaijan","AZE","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS","71.4108562","71.6064996","71.802143","71.9805366","72.1589302","72.3373238","72.5157174","72.694111","72.8203714","72.9466318","73.0728922","73.1991526","73.325413","73.3299634","73.3345138","73.3390642","73.3436146","73.348165","73.3643044","73.3804438","73.3965832","73.4127226","73.428862","73.5307106","73.6325592","73.7344078","73.8362564","73.938105","74.031642","74.125179","74.218716","74.312253","74.40579","74.7063566","75.0069232","75.3074898","75.6080564","75.908623","76.0442158","76.1798086","76.3154014","76.4509942","76.586587","77.5153338","78.4440806","79.3728274","80.3015742","81.230321","81.539424","81.848527","82.15763","82.466733","82.775836","82.9828526","83.1898692","83.3968858","83.6039024","83.810919","83.9783186","84.1457182","84.3131178","",
